"ZIP
code [1]",Size of adjusted gross income,,,,,
10504,"$200,000 or more",,,,,
,,,,,,
10505,,,,,,
10505,"$1 under $25,000",,,,,
10505,"$25,000 under $50,000",,,,,
10505,"$50,000 under $75,000",,,,,
10505,"$75,000 under $100,000",,,,,
10505,"$100,000 under $200,000",,,,,
10505,"$200,000 or more",,,,,
,,,,,,
10506,,,,,,
10506,"$1 under $25,000",,,,,
10506,"$25,000 under $50,000",,,,,
10506,"$50,000 under $75,000",,,,,
10506,"$75,000 under $100,000",,,,,
10506,"$100,000 under $200,000",,,,,
10506,"$200,000 or more",,,,,
,,,,,,
10507,,,,,,
10507,"$1 under $25,000",,,,,
10507,"$25,000 under $50,000",,,,,
10507,"$50,000 under $75,000",,,,,
10507,"$75,000 under $100,000",,,,,
10507,"$100,000 under $200,000",,,,,
10507,"$200,000 or more",,,,,
,,,,,,
10509,,,,,,
10509,"$1 under $25,000",,,,,
10509,"$25,000 under $50,000",,,,,
10509,"$50,000 under $75,000",,,,,
10509,"$75,000 under $100,000",,,,,
10509,"$100,000 under $200,000",,,,,
10509,"$200,000 or more",,,,,
,,,,,,
10510,,,,,,
10510,"$1 under $25,000",,,,,
10510,"$25,000 under $50,000",,,,,
10510,"$50,000 under $75,000",,,,,
10510,"$75,000 under $100,000",,,,,
10510,"$100,000 under $200,000",,,,,
10510,"$200,000 or more",,,,,
,,,,,,
10511,,,,,,
10511,"$1 under $25,000",,,,,
10511,"$25,000 under $50,000",,,,,
10511,"$50,000 under $75,000",,,,,
10511,"$75,000 under $100,000",,,,,
10511,"$100,000 under $200,000",,,,,
10511,"$200,000 or more",,,,,
,,,,,,
10512,,,,,,
10512,"$1 under $25,000",,,,,
10512,"$25,000 under $50,000",,,,,
10512,"$50,000 under $75,000",,,,,
10512,"$75,000 under $100,000",,,,,
10512,"$100,000 under $200,000",,,,,
10512,"$200,000 or more",,,,,
,,,,,,
10514,,,,,,
10514,"$1 under $25,000",,,,,
10514,"$25,000 under $50,000",,,,,
10514,"$50,000 under $75,000",,,,,
10514,"$75,000 under $100,000",,,,,
10514,"$100,000 under $200,000",,,,,
10514,"$200,000 or more",,,,,
,,,,,,
10516,,,,,,
10516,"$1 under $25,000",,,,,
10516,"$25,000 under $50,000",,,,,
10516,"$50,000 under $75,000",,,,,
10516,"$75,000 under $100,000",,,,,
10516,"$100,000 under $200,000",,,,,
10516,"$200,000 or more",,,,,
,,,,,,
10518,,,,,,
10518,"$1 under $25,000",,,,,
10518,"$25,000 under $50,000",,,,,
10518,"$50,000 under $75,000",,,,,
10518,"$75,000 under $100,000",,,,,
10518,"$100,000 under $200,000",,,,,
10518,"$200,000 or more",,,,,
,,,,,,
10520,,,,,,
10520,"$1 under $25,000",,,,,
10520,"$25,000 under $50,000",,,,,
10520,"$50,000 under $75,000",,,,,
10520,"$75,000 under $100,000",,,,,
10520,"$100,000 under $200,000",,,,,
10520,"$200,000 or more",,,,,
,,,,,,
10522,,,,,,
10522,"$1 under $25,000",,,,,
10522,"$25,000 under $50,000",,,,,
10522,"$50,000 under $75,000",,,,,
10522,"$75,000 under $100,000",,,,,
10522,"$100,000 under $200,000",,,,,
10522,"$200,000 or more",,,,,
,,,,,,
10523,,,,,,
10523,"$1 under $25,000",,,,,
10523,"$25,000 under $50,000",,,,,
10523,"$50,000 under $75,000",,,,,
10523,"$75,000 under $100,000",,,,,
10523,"$100,000 under $200,000",,,,,
10523,"$200,000 or more",,,,,
,,,,,,
10524,,,,,,
10524,"$1 under $25,000",,,,,
10524,"$25,000 under $50,000",,,,,
10524,"$50,000 under $75,000",,,,,
10524,"$75,000 under $100,000",,,,,
10524,"$100,000 under $200,000",,,,,
10524,"$200,000 or more",,,,,
,,,,,,
10526,,,,,,
10526,"$1 under $25,000",,,,,
10526,"$25,000 under $50,000",,,,,
10526,"$50,000 under $75,000",,,,,
10526,"$75,000 under $100,000",,,,,
10526,"$100,000 under $200,000",,,,,
10526,"$200,000 or more",,,,,
,,,,,,
10527,,,,,,
10527,"$1 under $25,000",,,,,
10527,"$25,000 under $50,000",,,,,
10527,"$50,000 under $75,000",,,,,
10527,"$75,000 under $100,000",,,,,
10527,"$100,000 under $200,000",,,,,
10527,"$200,000 or more",,,,,
,,,,,,
10528,,,,,,
10528,"$1 under $25,000",,,,,
10528,"$25,000 under $50,000",,,,,
10528,"$50,000 under $75,000",,,,,
10528,"$75,000 under $100,000",,,,,
10528,"$100,000 under $200,000",,,,,
10528,"$200,000 or more",,,,,
,,,,,,
10530,,,,,,
10530,"$1 under $25,000",,,,,
10530,"$25,000 under $50,000",,,,,
10530,"$50,000 under $75,000",,,,,
10530,"$75,000 under $100,000",,,,,
10530,"$100,000 under $200,000",,,,,
10530,"$200,000 or more",,,,,
,,,,,,
10532,,,,,,
10532,"$1 under $25,000",,,,,
10532,"$25,000 under $50,000",,,,,
10532,"$50,000 under $75,000",,,,,
10532,"$75,000 under $100,000",,,,,
10532,"$100,000 under $200,000",,,,,
10532,"$200,000 or more",,,,,
,,,,,,
10533,,,,,,
10533,"$1 under $25,000",,,,,
